Roll No,Name,dept,phone no,Address,Place
1,Shifna,MCA,1234567890,Kanampuram,vattakattupady
2,Suhana,MCA,1234567891,kanampuram,vattakattupady
3,Fathima,MCA,1234567892,chenthara,kandanthara
4,Beema,MCA,1234567893,plamattithikudy,okkal
5,Ciya,MCA,1234567894,nainukunnel,cheruthony
6,shabina,MCA,1234567895,aakadayil,muvattupuzha
7,Ameera,MCA,1234567896,akkaraparambil,muvattupuzha
8,irfana,MCA,1234567897,kunnumpurath,pallarimagalam
9,mariya,MCA,1234567898,thekkumkattil,muvattupuzha
10,ca,MCA,1234567890,chenthara,kandanthara
